Connected, dumping recent logs for app football4madridMIO in org pegprieto@es.ibm.com / space dev as pegprieto@es.ibm.com...

2018-12-18T09:56:15.27+0100 [API/0]      OUT Creating build for app with guid d20ba774-b375-4bd8-b58a-0d14f9ef2b14
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        path-is-inside@1.0.2 /tmp/app/node_modules/npm/node_modules/path-is-inside
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        rimraf@2.6.2 /tmp/app/node_modules/npm/node_modules/rimraf
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        glob@7.1.3 /tmp/app/node_modules/npm/node_modules/glob
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        fs.realpath@1.0.0 /tmp/app/node_modules/npm/node_modules/fs.realpath
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        inflight@1.0.6 /tmp/app/node_modules/npm/node_modules/inflight
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        once@1.4.0 /tmp/app/node_modules/npm/node_modules/once
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        wrappy@1.0.2 /tmp/app/node_modules/npm/node_modules/wrappy
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        inherits@2.0.3 /tmp/app/node_modules/npm/node_modules/inherits
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        minimatch@3.0.4 /tmp/app/node_modules/npm/node_modules/minimatch
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        brace-expansion@1.1.11 /tmp/app/node_modules/npm/node_modules/brace-expansion
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        balanced-match@1.0.0 /tmp/app/node_modules/npm/node_modules/balanced-match
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        concat-map@0.0.1 /tmp/app/node_modules/npm/node_modules/concat-map
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        path-is-absolute@1.0.1 /tmp/app/node_modules/npm/node_modules/path-is-absolute
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        iferr@0.1.5 /tmp/app/node_modules/npm/node_modules/gentle-fs/node_modules/iferr
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        read-cmd-shim@1.0.1 /tmp/app/node_modules/npm/node_modules/read-cmd-shim
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        slide@1.1.6 /tmp/app/node_modules/npm/node_modules/slide
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        write-file-atomic@2.3.0 /tmp/app/node_modules/npm/node_modules/write-file-atomic
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        imurmurhash@0.1.4 /tmp/app/node_modules/npm/node_modules/imurmurhash
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        signal-exit@3.0.2 /tmp/app/node_modules/npm/node_modules/signal-exit
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        byte-size@4.0.3 /tmp/app/node_modules/npm/node_modules/byte-size
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        cacache@11.2.0 /tmp/app/node_modules/npm/node_modules/cacache
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        chownr@1.0.1 /tmp/app/node_modules/npm/node_modules/chownr
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        figgy-pudding@3.5.1 /tmp/app/node_modules/npm/node_modules/figgy-pudding
2018-12-18T09:56:46.38+0100 [STG/0]      OUT        lru-cache@4.1.3 /tmp/app/node_modules/npm/node_modules/lru-cache
2018-12-18T09:56:46.39+0100 [STG/0]      OUT        pseudomap@1.0.2 /tmp/app/node_modules/npm/node_modules/pseudomap
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        yallist@2.1.2 /tmp/app/node_modules/npm/node_modules/yallist
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        mississippi@3.0.0 /tmp/app/node_modules/npm/node_modules/mississippi
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        concat-stream@1.6.2 /tmp/app/node_modules/npm/node_modules/concat-stream
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        buffer-from@1.0.0 /tmp/app/node_modules/npm/node_modules/buffer-from
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        readable-stream@2.3.6 /tmp/app/node_modules/npm/node_modules/readable-stream
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        core-util-is@1.0.2 /tmp/app/node_modules/npm/node_modules/core-util-is
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        isarray@1.0.0 /tmp/app/node_modules/npm/node_modules/isarray
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        process-nextick-args@2.0.0 /tmp/app/node_modules/npm/node_modules/process-nextick-args
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        safe-buffer@5.1.2 /tmp/app/node_modules/npm/node_modules/safe-buffer
2018-12-18T09:56:46.40+0100 [STG/0]      OUT        string_decoder@1.1.1 /tmp/app/node_modules/npm/node_modules/string_decoder
